438071346.18281 , -178922662250.59, 170679002816.795, 7964987608.40569, -15813.1296925762, -15450.985473496, 64.3766511214112
438074946.18281 , -178979579388.934, 170623369597.432, 7965218913.01858, -15807.5024534327, -15456.3582956165, 64.1259117753421
438078546.18281 , -179036476266.334, 170567717039.381, 7965449314.97181, -15801.8736130126, -15461.7291891972, 63.8751735414012
438082146.18281 , -179093352877.026, 170512045149.585, 7965678814.26945, -15796.2431718962, -15467.0981539154, 63.6244364405867
438085746.18281 , -179150209215.251, 170456353934.988, 7965907410.91558, -15790.6111306636, -15472.465189449, 63.3737004938979
438089346.18281 , -179207045275.248, 170400643402.536, 7966135104.91439, -15784.9774898951, -15477.8302954756, 63.1229657223269
438092946.18281 , -179263861051.26, 170344913559.176, 7966361896.2702 , -15779.3422501708, -15483.1934716731, 62.8722321468649
438096546.18281 , -179320656537.531, 170289164411.856, 7966587784.98731, -15773.7054120707, -15488.5547177195, 62.6214997884995
438100146.18281 , -179377431728.309, 170233395967.525, 7966812771.07018, -15768.0669761749, -15493.9140332928, 62.3707686682131
438103746.18281 , -179434186617.843, 170177608233.134, 7967036854.52325, -15762.4269430633, -15499.2714180712, 62.1200388069889
438107346.18281 , -179490921200.383, 170121801215.633, 7967260035.35112, -15756.785313316, -15504.626871733, 61.8693102258021
438110946.18281 , -179547635470.183, 170065974921.975, 7967482313.55844, -15751.1420875127, -15509.9803939567, 61.6185829456288
438114546.18281 , -179604329421.499, 170010129359.114, 7967703689.1499 , -15745.4972662335, -15515.3319844206, 61.3678569874381
438118146.18281 , -179661003048.586, 169954264534.005, 7967924162.13034, -15739.850850058, -15520.6816428034, 61.1171323721971
438121746.18281 , -179717656345.706, 169898380453.605, 7968143732.50462, -15734.2028395661, -15526.0293687839, 60.8664091208704
438125346.18281 , -179774289307.119, 169842477124.87 , 7968362400.27769, -15728.5532353375, -15531.3751620408, 60.6156872544181
438128946.18281 , -179830901927.089, 169786554554.758, 7968580165.45454, -15722.9020379518, -15536.719022253, 60.3649667937978
438132546.18281 , -179887494199.881, 169730612750.229, 7968797028.04031, -15717.2492479888, -15542.0609490997, 60.114247759965 
438136146.18281 , -179944066119.764, 169674651718.245, 7969012988.04015, -15711.594866028, -15547.40094226 , 59.8635301738693
438139746.18281 , -180000617681.007, 169618671465.766, 7969228045.45932, -15705.938892649, -15552.739001413, 59.6128140564574
438143346.18281 , -180057148877.882, 169562671999.756, 7969442200.30314, -15700.2813284313, -15558.0751262382, 59.3620994286734
438146946.18281 , -180113659704.663, 169506653327.178, 7969655452.57702, -15694.6221739543, -15563.409316415, 59.1113863114634
438150546.18281 , -180170150155.627, 169450615455    , 7969867802.28642, -15688.9614297975, -15568.741571623, 58.8606747257563
438154146.18281 , -180226620225.051, 169394558390.185, 7970079249.43692, -15683.2990965403, -15574.0718915419, 58.6099646924927
438157746.18281 , -180283069907.215, 169338482139.703, 7970289794.0341 , -15677.635174762, -15579.4002758515, 58.3592562326025
438161346.18281 , -180339499196.403, 169282386710.522, 7970499436.0837 , -15671.9696650419, -15584.7267242315, 58.1085493670113
438164946.18281 , -180395908086.899, 169226272109.612, 7970708175.59148, -15666.3025679592, -15590.0512363621, 57.8578441166453
438168546.18281 , -180452296572.989, 169170138343.944, 7970916012.56329, -15660.6338840932, -15595.3738119233, 57.6071405024257
438172146.18281 , -180508664648.961, 169113985420.491, 7971122947.00509, -15654.963614023, -15600.6944505953, 57.356438545269 
438175746.18281 , -180565012309.107, 169057813346.225, 7971328978.92284, -15649.2917583278, -15606.0131520585, 57.1057382660909
438179346.18281 , -180621339547.719, 169001622128.121, 7971534108.32264, -15643.6183175866, -15611.3299159932, 56.8550396858027
438182946.18281 , -180677646359.092, 168945411773.155, 7971738335.21064, -15637.9432923785, -15616.64474208 , 56.6043428253158
438186546.18281 , -180733932737.523, 168889182288.304, 7971941659.59308, -15632.2666832824, -15621.9576299995, 56.3536477055289
438190146.18281 , -180790198677.312, 168832933680.545, 7972144081.47623, -15626.5884908774, -15627.2685794324, 56.1029543473479
438193746.18281 , -180846444172.758, 168776665956.858, 7972345600.86653, -15620.9087157423, -15632.5775900595, 55.8522627716682
438197346.18281 , -180902669218.167, 168720379124.224, 7972546217.77036, -15615.227358456, -15637.8846615619, 55.6015729993877
438200946.18281 , -180958873807.841, 168664073189.622, 7972745932.19429, -15609.5444195974, -15643.1897936206, 55.3508850513964
438204546.18281 , -181015057936.09, 168607748160.037, 7972944744.14495, -15603.8598997451, -15648.4929859166, 55.1001989485842
438208146.18281 , -181071221597.223, 168551404042.452, 7973142653.62897, -15598.173799478, -15653.7942381313, 54.8495147118357
438211746.18281 , -181127364785.551, 168495040843.851, 7973339660.65314, -15592.4861193747, -15659.093549946, 54.5988323620303
438215346.18281 , -181183487495.387, 168438658571.221, 7973535765.22426, -15586.7968600139, -15664.3909210422, 54.3481519200526
438218946.18281 , -181239589721.049, 168382257231.549, 7973730967.34927, -15581.1060219742, -15669.6863511014, 54.0974734067738
438222546.18281 , -181295671456.852, 168325836831.823, 7973925267.03512, -15575.4136058342, -15674.9798398054, 53.8467968430671
438226146.18281 , -181351732697.117, 168269397379.032, 7974118664.28891, -15569.7196121723, -15680.2713868358, 53.596122249802 
438229746.18281 , -181407773436.167, 168212938880.168, 7974311159.11771, -15564.0240415672, -15685.5609918747, 53.3454496478463
438233346.18281 , -181463793668.325, 168156461342.222, 7974502751.52878, -15558.3268945971, -15690.8486546039, 53.0947790580587
